epoch;loss;val_loss
0;0.43897208347916605;1.6354858040809632
1;0.2261172879487276;0.23140593320131303
2;0.16051714159548283;0.19569512009620665
3;0.1321760643273592;0.2963087946176529
4;0.11820678263902665;0.7311192750930786
5;0.10987079832702876;0.7606810688972473
6;0.10176248699426652;0.2843951374292374
7;0.09728643018752337;0.16044471263885499
8;0.09230975396931171;0.13729018867015838
9;0.08726544808596373;0.12985706701874733
10;0.08649182748049497;0.14083260744810105
11;0.08757078442722559;0.12305168509483337
12;0.0828504340723157;0.12450146600604058
13;0.0828312935307622;0.13369193226099013
14;0.08217839077115059;0.10659179612994193
15;0.07920842841267586;0.09099481776356697
16;0.07805599328130483;0.10563031286001205
17;0.0766443930566311;0.08765159547328949
18;0.07453608978539705;0.08740325421094894
19;0.07481339871883393;0.12135543078184127
20;0.07373678423464299;0.09191057831048965
21;0.07291152551770211;0.08409368097782136
22;0.0718667732551694;0.09463486596941947
23;0.07076827213168144;0.08594282567501069
24;0.07087169326841831;0.08868541195988655
25;0.07097458401694894;0.09225523620843887
26;0.07139345463365317;0.1098670370876789
27;0.06827748920768499;0.07765364646911621
28;0.06707987505942584;0.07813801243901253
29;0.06623584190383554;0.07768957316875458
30;0.06530699683353305;0.07926011309027672
31;0.06503378879278898;0.08171164840459824
32;0.0654438923113048;0.085933168977499
33;0.0645457691513002;0.07771256417036057
34;0.06432846058160066;0.08334301188588142
35;0.06411875048652291;0.08684547394514083
36;0.06391686648130417;0.08386890515685082
37;0.06322902785614133;0.08332377970218659
38;0.06304280441254377;0.07519148513674737
39;0.06283256635069848;0.0746413916349411
40;0.06232053497806191;0.07878699675202369
41;0.06229521417990327;0.07575840279459953
42;0.06195975029841065;0.07918135523796081
43;0.0626227960921824;0.0797189213335514
44;0.062172187492251396;0.08171405494213105
45;0.06187385898083449;0.07679163366556167
46;0.0618429996073246;0.07467232272028923
47;0.061327775754034516;0.07497145235538483
48;0.061545971967279914;0.07791674435138703
49;0.06133350851014256;0.07581414505839348
50;0.061606223415583375;0.07426218837499618
51;0.06093618459999561;0.07420270144939423
52;0.060904933139681816;0.07684979066252709
53;0.06121690524742007;0.0770425982773304
54;0.06081403344869614;0.07390733733773232
55;0.06154588852077723;0.07658747509121895
56;0.06093001402914524;0.07442126125097275
57;0.060996318329125644;0.07522596269845963
58;0.060877890791743994;0.07427540794014931
59;0.060575994104146956;0.07480601370334625
60;0.06069410415366292;0.07529679387807846
61;0.06077972445636988;0.07554214671254159
62;0.06049056686460972;0.07519918382167816
63;0.060777405928820374;0.07473922520875931
64;0.06045645186677575;0.07553828284144401
65;0.06072727162390947;0.07449694275856018
66;0.060341283958405253;0.07506651505827903
67;0.06050562635064125;0.07475280985236168
68;0.06018727347254753;0.07510506138205528
69;0.060650432202965024;0.07588885799050331
70;0.06067927125841379;0.07520157918334007
71;0.060400853771716355;0.07469060570001602
72;0.06030097380280495;0.0754406325519085
73;0.06049310592934489;0.07392217591404915
74;0.06060352679342031;0.07499250546097755
